entity_id,state,last_changed
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 74 02 25 5C 01 0C 08 0D 0A,2025-12-08T13:16:28.596Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 73 02 25 5B 01 0C 08 0D 0A,2025-12-08T13:16:33.614Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 73 02 25 59 01 0C 08 0D 0A,2025-12-08T13:16:38.579Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 72 02 25 59 01 0C 08 0D 0A,2025-12-08T13:16:43.583Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 72 02 25 58 01 0C 08 0D 0A,2025-12-08T13:16:48.583Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 71 02 25 59 01 0C 08 0D 0A,2025-12-08T13:16:53.591Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 71 02 25 5B 01 0C 08 0D 0A,2025-12-08T13:16:58.602Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 70 02 25 5C 01 0C 08 0D 0A,2025-12-08T13:17:03.623Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 70 02 25 5E 01 0C 08 0D 0A,2025-12-08T13:17:08.644Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6F 02 25 5E 01 0C 08 0D 0A,2025-12-08T13:17:18.604Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6F 02 25 5A 01 0C 08 0D 0B,2025-12-08T13:17:28.612Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6E 02 25 5B 01 0C 08 0D 0B,2025-12-08T13:17:33.631Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6D 02 25 5C 01 0C 08 0D 0B,2025-12-08T13:17:38.639Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6D 02 25 5D 01 0C 08 0D 0B,2025-12-08T13:17:43.657Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6C 02 25 5C 01 0C 08 0D 0B,2025-12-08T13:17:48.618Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6C 02 25 5D 01 0C 08 0D 0B,2025-12-08T13:17:53.631Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6C 02 25 5C 01 0C 08 0D 0B,2025-12-08T13:17:58.625Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6B 02 25 5B 01 0C 08 0D 0B,2025-12-08T13:18:08.651Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6B 02 25 59 01 0C 08 0D 0B,2025-12-08T13:18:13.669Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6A 02 25 56 01 0C 08 0D 0B,2025-12-08T13:18:18.683Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6A 02 25 56 01 0C 08 0D 0C,2025-12-08T13:18:23.641Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6A 02 25 59 01 0C 08 0D 0C,2025-12-08T13:18:28.651Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 6A 02 25 5B 01 0C 08 0D 0C,2025-12-08T13:18:38.656Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 69 02 25 5A 01 0C 08 0D 0C,2025-12-08T13:18:43.664Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 69 02 25 59 01 0C 08 0D 0C,2025-12-08T13:18:48.682Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 68 02 26 59 01 0C 08 0D 0C,2025-12-08T13:18:53.709Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 68 02 26 58 01 0C 08 0D 0C,2025-12-08T13:18:58.657Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 68 02 25 59 01 0C 08 0D 0C,2025-12-08T13:19:03.661Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 67 02 26 59 01 0C 08 0D 0C,2025-12-08T13:19:08.662Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 68 02 26 59 01 0C 08 0D 0C,2025-12-08T13:19:13.669Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 67 02 26 58 01 0C 08 0D 0D,2025-12-08T13:19:23.704Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 66 02 26 5B 01 0C 08 0D 0D,2025-12-08T13:19:28.721Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 66 02 26 5D 01 0C 08 0D 0D,2025-12-08T13:19:33.677Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 66 02 26 5A 01 0C 08 0D 0D,2025-12-08T13:19:38.684Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 65 02 26 58 01 0C 08 0D 0D,2025-12-08T13:19:43.690Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 66 02 26 56 01 0C 08 0D 0D,2025-12-08T13:19:48.694Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 65 02 26 59 01 0C 08 0D 0D,2025-12-08T13:19:53.912Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 65 02 26 5A 01 0C 08 0D 0D,2025-12-08T13:20:03.742Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 65 02 26 57 01 0C 08 0D 0D,2025-12-08T13:20:09.182Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 64 02 26 59 01 0C 08 0D 0D,2025-12-08T13:20:13.716Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 64 02 26 5A 01 0C 08 0D 0D,2025-12-08T13:20:18.710Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 63 02 26 5A 01 0C 08 0D 0D,2025-12-08T13:20:23.712Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 63 02 26 5A 01 0C 08 0D 0E,2025-12-08T13:20:28.728Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 64 02 26 5A 01 0C 08 0D 0E,2025-12-08T13:20:33.751Z
